iter	MultiClass
0	1.812246676
1	1.717351306
2	1.632503968
3	1.569786485
4	1.511988518
5	1.463324165
6	1.42216852
7	1.384201818
8	1.352802157
9	1.324006536
10	1.296823607
11	1.271761221
12	1.252352858
13	1.234266362
14	1.216493928
15	1.199520438
16	1.183978934
17	1.17018864
18	1.156664249
19	1.14506992
20	1.13462484
21	1.1246665
22	1.116482146
23	1.106969384
24	1.097989197
25	1.090158408
26	1.082920572
27	1.075828267
28	1.069240131
29	1.064392193
30	1.058835911
31	1.051912539
32	1.045972929
33	1.042142069
34	1.037156719
35	1.03339586
36	1.028031547
37	1.024107676
38	1.021046257
39	1.01692371
40	1.012586425
41	1.00960501
42	1.005427682
43	1.001793103
44	0.9990723995
45	0.9952636209
46	0.9910901964
47	0.988531533
48	0.9868935497
49	0.9841755659
50	0.9814014742
51	0.9794644538
52	0.9756127304
53	0.9738351877
54	0.9701448025
55	0.9669182671
56	0.9655171536
57	0.9629080069
58	0.9607878969
59	0.956623732
60	0.9548088162
61	0.9529378122
62	0.9511660179
63	0.9487573165
64	0.946896809
65	0.9439973431
66	0.9413800579
67	0.9399206328
68	0.9373609946
69	0.9363235905
70	0.934430289
71	0.9325435786
72	0.9308880727
73	0.9294142087
74	0.9282248652
75	0.9271784505
76	0.9257612403
77	0.9239325994
78	0.9218694544
79	0.9197733998
80	0.9186100371
81	0.9166958838
82	0.9134309616
83	0.9114014369
84	0.9086044731
85	0.9065462877
86	0.9048437537
87	0.9039736132
88	0.9018256386
89	0.9007065912
90	0.8983617822
91	0.8953441128
92	0.8934044162
93	0.8925934927
94	0.8910927791
95	0.8891326269
96	0.8884232283
97	0.8863890312
98	0.8851138377
99	0.8831443359
100	0.8818630299
101	0.8805136627
102	0.8794391392
103	0.8780862501
104	0.8764553492
105	0.8738658736
106	0.872172678
107	0.8699396817
108	0.8678628782
109	0.8669709762
110	0.8663163111
111	0.8642671274
112	0.862957214
113	0.8610856852
114	0.8591535083
115	0.8573111698
116	0.8543906541
117	0.8534749525
118	0.8525781134
119	0.8510083167
120	0.8493794735
121	0.8484599263
122	0.8462617951
123	0.8446671154
124	0.842631227
125	0.8410620829
126	0.8391382303
127	0.8378880078
128	0.8356662139
129	0.8342551996
130	0.8334023012
131	0.8318758426
132	0.8308573269
133	0.8288162792
134	0.8279000801
135	0.8268761138
136	0.8257995374
137	0.8247671523
138	0.821966467
139	0.821214458
140	0.8191013443
141	0.817738322
142	0.8172863491
143	0.8154988858
144	0.8140603589
145	0.812399525
146	0.8109853353
147	0.8106187082
148	0.8084967329
149	0.8070166475
150	0.8064960103
151	0.805330588
152	0.8042668183
153	0.803372645
154	0.8021105093
155	0.8001696497
156	0.798489469
157	0.7974784838
158	0.7966284595
159	0.7953037536
160	0.7936720042
161	0.7918712322
162	0.7903494897
163	0.7890085629
164	0.788202129
165	0.7876013865
166	0.7869251143
