iter	Passed	Remaining
0	8	8928
1	18	8992
2	26	8719
3	35	8767
4	43	8630
5	53	8797
6	62	8802
7	71	8808
8	79	8795
9	89	8831
10	98	8849
11	107	8864
12	118	8975
13	126	8897
14	135	8867
15	143	8824
16	152	8821
17	160	8763
18	168	8708
19	177	8687
20	185	8642
21	194	8630
22	203	8644
23	213	8669
24	222	8661
25	232	8708
26	241	8704
27	249	8669
28	258	8648
29	266	8622
30	275	8597
31	283	8575
32	291	8555
33	299	8519
34	307	8491
35	316	8470
36	324	8452
37	332	8418
38	340	8397
39	349	8391
40	358	8379
41	366	8355
42	374	8343
43	382	8312
44	390	8291
45	399	8275
46	407	8259
47	415	8239
48	423	8220
49	431	8205
50	439	8187
51	448	8172
52	456	8159
53	464	8137
54	473	8128
55	480	8107
56	489	8097
57	497	8079
58	506	8076
59	514	8061
60	523	8058
61	532	8054
62	541	8047
63	549	8032
64	557	8026
65	566	8011
66	575	8012
67	583	8000
68	592	7994
69	600	7979
70	609	7978
71	619	7980
72	628	7977
73	636	7961
74	644	7947
75	652	7928
76	660	7912
77	668	7902
78	676	7891
79	685	7884
80	693	7871
81	702	7864
82	710	7850
83	719	7847
84	727	7833
85	736	7831
86	746	7833
87	754	7822
88	763	7813
89	772	7813
90	781	7808
91	790	7800
92	799	7799
93	808	7792
94	816	7777
95	824	7760
96	832	7748
97	840	7739
98	848	7725
99	856	7711
100	864	7698
101	872	7685
102	881	7673
103	889	7661
104	897	7651
105	906	7642
106	914	7632
107	922	7618
108	930	7609
109	939	7600
110	947	7591
111	955	7579
112	965	7575
113	973	7564
114	982	7558
115	990	7548
116	999	7545
117	1008	7536
118	1017	7529
119	1025	7520
120	1036	7526
121	1044	7518
122	1053	7508
123	1061	7501
124	1070	7494
125	1080	7494
126	1088	7484
127	1097	7475
128	1105	7464
129	1114	7457
130	1122	7443
131	1130	7434
132	1138	7421
133	1148	7422
134	1156	7410
135	1164	7400
136	1172	7388
137	1181	7377
138	1190	7373
139	1198	7363
140	1207	7354
141	1215	7343
142	1223	7331
143	1231	7323
144	1240	7312
145	1248	7305
146	1256	7292
147	1264	7280
148	1273	7272
149	1281	7259
150	1289	7250
151	1298	7243
152	1306	7235
153	1314	7222
154	1323	7213
155	1331	7201
156	1338	7189
157	1346	7177
158	1354	7166
159	1363	7160
160	1372	7150
161	1380	7140
162	1388	7132
163	1397	7122
164	1405	7114
165	1413	7103
166	1422	7093
167	1429	7081
168	1438	7072
169	1446	7061
170	1454	7052
171	1463	7043
172	1471	7035
173	1479	7023
174	1488	7017
175	1496	7007
176	1505	6999
177	1513	6989
178	1522	6981
179	1530	6972
180	1539	6964
181	1547	6953
