iter	Passed	Remaining
0	1	1856
1	3	1523
2	4	1485
3	6	1508
4	7	1508
5	9	1513
6	10	1496
7	12	1496
8	13	1510
9	14	1473
10	16	1465
11	17	1456
12	18	1419
13	20	1421
14	21	1436
15	23	1435
16	24	1429
17	26	1421
18	27	1421
19	28	1419
20	30	1416
21	31	1407
22	32	1398
23	34	1396
24	35	1396
25	37	1390
26	38	1387
27	39	1381
28	41	1383
29	42	1389
30	44	1390
31	45	1386
32	47	1382
33	48	1380
34	49	1377
35	51	1375
36	52	1370
37	54	1370
38	55	1368
39	57	1368
40	57	1355
41	59	1356
42	60	1357
43	62	1356
44	63	1353
45	65	1353
46	66	1354
47	68	1353
48	69	1351
49	71	1352
50	72	1352
51	74	1353
52	75	1356
53	77	1355
54	78	1355
55	80	1358
56	82	1358
57	83	1356
58	84	1353
59	86	1351
60	87	1351
61	89	1350
62	90	1348
63	92	1345
64	93	1345
65	94	1343
66	96	1341
67	97	1339
68	99	1338
69	100	1339
70	102	1340
71	103	1339
72	105	1336
73	106	1337
74	108	1338
75	110	1339
76	111	1336
77	113	1336
78	114	1335
79	116	1336
80	117	1335
81	119	1334
82	120	1333
83	122	1331
84	123	1329
85	125	1329
86	126	1328
87	128	1327
88	129	1326
89	130	1323
90	132	1322
91	133	1321
92	135	1319
93	136	1317
94	138	1318
95	140	1318
96	141	1317
97	142	1314
98	144	1312
99	145	1310
100	146	1308
101	148	1308
102	150	1308
103	151	1306
104	153	1306
105	154	1305
106	156	1302
107	157	1301
108	159	1300
109	160	1299
110	161	1297
111	163	1294
112	164	1293
113	166	1291
114	167	1289
115	168	1287
116	170	1284
117	171	1283
118	173	1281
119	174	1280
120	175	1277
121	177	1275
122	178	1274
123	180	1272
124	181	1272
125	183	1270
126	184	1268
127	186	1267
128	187	1265
129	188	1263
130	190	1262
131	191	1262
132	193	1261
133	195	1260
134	196	1259
135	198	1258
136	199	1257
137	201	1255
138	202	1253
139	204	1253
140	205	1252
141	207	1251
142	208	1250
143	209	1248
144	211	1246
145	212	1244
146	214	1242
147	215	1240
148	216	1238
149	218	1237
150	220	1237
151	221	1236
152	223	1234
153	224	1233
154	225	1231
155	227	1229
156	228	1227
157	229	1225
158	231	1224
159	232	1222
160	234	1220
161	235	1218
162	236	1216
163	238	1214
164	239	1213
165	241	1211
166	242	1210
167	244	1209
168	245	1207
169	246	1204
170	248	1203
171	249	1200
172	250	1199
173	252	1197
174	253	1196
175	255	1194
176	256	1192
177	258	1191
178	259	1190
179	260	1188
180	262	1186
181	263	1186
182	265	1184
183	266	1184
184	268	1182
185	269	1181
186	271	1180
187	272	1178
188	274	1177
189	275	1175
190	277	1174
191	278	1174
192	280	1173
193	282	1173
194	283	1172
195	285	1170
196	286	1169
197	288	1166
198	289	1165
199	291	1164
200	292	1163
201	294	1161
202	295	1160
203	297	1159
204	298	1159
205	300	1157
206	301	1156
207	303	1155
208	305	1154
209	306	1153
210	308	1152
211	309	1151
212	311	1149
213	312	1148
214	314	1148
215	316	1148
216	317	1147
217	319	1145
218	320	1143
219	322	1142
220	323	1140
221	325	1139
222	326	1137
223	327	1136
224	329	1134
225	330	1132
226	332	1131
227	333	1129
228	334	1127
229	336	1126
230	338	1125
231	339	1123
232	340	1122
233	342	1120
234	344	1119
235	345	1118
236	346	1116
237	348	1114
238	349	1113
239	350	1111
240	352	1109
241	353	1107
242	355	1106
243	356	1104
244	357	1102
245	359	1100
246	360	1099
247	362	1097
248	363	1095
249	364	1094
250	366	1092
251	367	1090
252	368	1088
253	370	1086
254	371	1085
255	372	1083
256	374	1081
257	375	1079
258	376	1077
259	378	1076
260	379	1074
261	380	1072
262	382	1070
263	383	1069
264	384	1067
265	386	1065
266	387	1064
267	389	1062
268	390	1060
269	391	1059
270	393	1057
271	394	1056
272	395	1054
273	397	1052
274	398	1050
275	399	1048
276	401	1048
277	402	1046
278	404	1044
279	405	1043
280	407	1042
281	408	1040
282	410	1039
283	411	1037
284	412	1035
285	414	1034
286	415	1032
287	417	1031
288	418	1029
289	419	1028
290	421	1026
291	422	1024
292	424	1023
293	425	1022
294	427	1021
295	428	1019
296	430	1018
297	431	1016
298	432	1014
299	434	1013
300	435	1011
301	436	1009
302	438	1008
303	439	1006
304	441	1005
305	442	1003
306	443	1001
307	445	1000
308	446	999
309	448	998
310	449	996
311	450	994
312	452	993
313	454	991
314	455	990
315	457	989
316	458	988
317	460	987
318	461	985
319	463	984
320	464	982
321	466	981
322	467	980
323	469	979
324	470	977
325	472	975
326	473	974
327	474	973
328	476	971
329	477	969
330	479	968
331	480	967
332	482	965
333	483	964
334	485	963
335	486	961
336	488	960
337	489	959
338	491	957
339	492	956
340	494	955
341	496	954
342	497	953
343	499	951
344	500	950
345	502	949
346	503	947
347	505	946
348	506	944
349	507	943
350	509	941
351	510	940
352	512	938
353	513	937
354	515	935
355	516	934
356	518	933
357	519	931
358	521	930
359	522	928
360	523	927
361	525	926
362	526	924
363	528	922
364	529	921
365	530	919
366	532	918
367	533	916
368	535	915
369	536	913
370	538	912
371	539	910
372	541	909
373	542	908
374	543	906
375	545	905
376	546	903
377	548	902
378	549	900
379	551	899
380	552	898
381	554	896
382	555	895
383	557	893
384	558	892
385	560	891
386	561	889
387	563	888
388	564	887
389	566	885
390	567	884
391	568	882
392	570	880
393	571	879
394	573	878
395	574	876
396	576	875
397	577	873
398	579	872
399	580	870
400	582	869
401	583	868
402	585	867
403	587	866
404	588	864
405	590	863
406	592	862
407	593	861
408	595	860
409	597	859
410	598	857
411	600	856
412	601	854
413	602	853
414	604	851
415	605	850
416	606	848
417	608	846
418	609	845
419	611	844
420	612	842
421	613	840
422	615	839
423	616	837
424	617	836
425	619	834
426	620	832
427	621	831
428	623	829
429	624	828
430	625	826
431	627	824
432	628	822
433	629	821
434	631	819
435	632	817
436	633	816
437	635	814
438	636	813
439	637	811
440	639	810
441	640	808
442	641	806
443	643	805
444	644	803
445	645	801
446	646	800
447	648	798
448	649	797
449	650	795
450	652	793
451	653	792
452	654	790
453	655	788
454	657	787
455	658	785
456	659	784
457	661	782
458	662	781
459	663	779
460	665	777
461	666	776
462	667	774
463	669	773
464	670	771
465	672	770
466	673	768
467	675	767
468	676	766
469	677	764
470	679	762
471	680	761
472	682	759
473	683	758
474	685	757
475	686	756
476	688	754
477	689	753
478	691	751
479	692	750
480	693	748
481	695	747
482	696	745
483	698	744
484	699	742
485	700	741
486	702	739
487	703	738
488	705	736
489	706	735
490	707	733
491	709	732
492	710	730
493	711	729
494	713	727
495	714	726
496	716	724
497	717	723
498	718	721
499	720	720
500	721	718
501	723	717
502	724	715
503	725	714
504	727	712
505	728	711
506	729	709
