iter	MultiClass
0	1.733469065
1	1.600219128
2	1.488030171
3	1.411085242
4	1.334245126
5	1.26208961
6	1.196110868
7	1.138069852
8	1.101125263
9	1.077038327
10	1.049890699
11	1.017581802
12	0.9995143133
13	0.9727220224
14	0.9474109854
15	0.925075109
16	0.9128846561
17	0.8905038322
18	0.8784241709
19	0.8632673182
20	0.8509304472
21	0.8359278449
22	0.8252887452
23	0.8099849783
24	0.7979769704
25	0.7928049631
26	0.7772903723
27	0.7662598649
28	0.7582482633
29	0.7482264406
30	0.7383591655
31	0.7320563399
32	0.7244599739
33	0.7176702073
34	0.7132960471
35	0.7033632763
36	0.6978110818
37	0.6877515777
38	0.6811830736
39	0.6779653478
40	0.6685838104
41	0.6615650837
42	0.6523881553
43	0.6444990877
44	0.638665734
45	0.6346420077
46	0.6276384008
47	0.6217337633
48	0.6148936408
49	0.611811001
50	0.6078753768
51	0.5993335718
52	0.5961223659
53	0.5929928014
54	0.5883796446
55	0.5826375569
56	0.5783986967
57	0.5749893283
58	0.5709206274
59	0.5654606732
60	0.561451247
61	0.5559728952
62	0.5521418238
63	0.5446022601
64	0.5415922896
65	0.5369823696
66	0.5333414988
67	0.5272850016
68	0.5182710648
69	0.5147972673
70	0.5118328956
71	0.5092947855
72	0.5060123474
73	0.5024278433
74	0.4999973826
75	0.4969405536
76	0.4927953836
77	0.4904409298
78	0.4869401266
79	0.4852802119
80	0.480559023
81	0.4784613464
82	0.4745526116
83	0.4710532438
84	0.4681737738
85	0.4672845151
86	0.4636387126
87	0.4635318987
88	0.4601892012
89	0.4587862433
90	0.4567240434
91	0.4558543594
92	0.4533758632
93	0.4508433893
94	0.4478781607
95	0.445982736
96	0.4457580613
97	0.4431280485
98	0.4409382275
99	0.4382952426
100	0.4355999053
101	0.4336718179
102	0.4310650947
103	0.4294703648
104	0.4282514244
105	0.4259423567
106	0.422593674
107	0.4214127323
108	0.4184153664
109	0.4164124379
110	0.4144689874
111	0.4123426988
112	0.4109868087
113	0.4089716363
114	0.4077453806
115	0.4045431914
116	0.402594743
117	0.4005335141
118	0.3976865624
119	0.3958711236
120	0.3950136929
121	0.3942074322
122	0.3929580246
123	0.3905485429
124	0.3896613276
125	0.3883466517
126	0.3865517399
127	0.3849648335
128	0.3823675581
129	0.3809360034
130	0.3801738583
131	0.3789839149
132	0.3767663303
133	0.3749513265
134	0.3741891937
135	0.3733216232
136	0.3712480809
