iter	Passed	Remaining
0	7	4049
1	14	3763
2	20	3577
3	25	3346
4	29	3063
5	33	2966
6	37	2842
7	41	2706
8	45	2653
9	49	2600
10	54	2559
11	58	2531
12	63	2517
13	68	2522
14	72	2484
15	75	2438
16	79	2417
17	83	2373
18	87	2349
19	90	2316
20	94	2292
21	97	2258
22	100	2226
23	103	2196
24	107	2170
25	110	2145
26	113	2125
27	116	2101
28	120	2083
29	122	2056
30	126	2038
31	128	2013
32	132	1997
33	135	1981
34	139	1975
35	142	1960
36	145	1952
37	149	1939
38	153	1936
39	156	1923
40	159	1916
41	163	1905
42	166	1894
43	169	1879
44	173	1873
45	176	1860
46	180	1861
47	184	1856
48	187	1849
49	191	1845
50	195	1841
51	199	1838
52	202	1827
53	205	1821
54	208	1810
55	212	1806
56	215	1795
57	218	1787
58	221	1776
59	224	1769
60	227	1760
61	231	1756
62	234	1747
63	238	1741
64	241	1734
65	244	1726
66	247	1717
67	250	1709
68	253	1700
69	256	1694
70	259	1688
71	263	1682
72	266	1675
73	269	1668
74	272	1663
75	276	1658
76	280	1655
77	283	1648
78	286	1642
79	289	1634
80	292	1628
81	295	1621
82	298	1614
83	301	1605
84	304	1600
85	307	1592
86	309	1584
87	312	1579
88	315	1571
89	318	1564
90	321	1557
91	324	1552
92	327	1545
93	330	1539
94	333	1532
95	335	1525
96	339	1520
97	341	1514
98	345	1509
99	348	1504
100	351	1499
101	354	1495
102	358	1491
103	361	1487
104	365	1485
105	368	1481
106	372	1477
107	375	1472
108	379	1471
109	382	1465
110	385	1463
111	389	1459
112	393	1459
113	396	1455
114	400	1453
115	404	1452
116	408	1448
117	413	1449
118	416	1444
119	419	1441
120	423	1437
121	426	1434
122	430	1430
123	433	1424
124	436	1419
125	439	1415
126	442	1409
127	445	1405
128	448	1400
129	451	1396
130	454	1391
131	457	1387
132	461	1384
133	464	1380
134	467	1375
135	471	1373
136	474	1369
137	478	1367
138	482	1363
139	485	1360
140	488	1355
141	492	1353
142	495	1348
143	499	1344
144	501	1339
145	505	1336
146	508	1331
147	511	1326
148	514	1322
149	517	1318
150	520	1313
151	523	1309
152	526	1304
153	530	1300
154	533	1296
155	536	1292
156	539	1288
157	542	1283
158	545	1278
159	547	1273
160	551	1269
161	554	1265
162	556	1260
163	559	1255
164	562	1250
165	565	1246
166	568	1241
167	571	1237
168	574	1233
169	577	1229
170	580	1224
171	583	1220
172	586	1216
173	589	1212
174	592	1208
175	595	1203
176	598	1199
177	600	1195
178	604	1191
179	607	1187
180	609	1182
181	612	1178
182	615	1174
183	618	1170
184	621	1165
185	624	1161
186	627	1157
187	630	1152
188	632	1148
189	635	1144
190	638	1140
191	641	1136
192	644	1132
193	647	1128
194	650	1124
195	653	1119
196	655	1115
197	658	1111
198	661	1107
199	665	1103
200	667	1099
201	670	1096
202	674	1092
203	677	1089
204	680	1084
205	682	1080
206	685	1076
207	688	1072
208	692	1069
209	695	1065
210	698	1062
211	701	1058
212	704	1054
213	707	1050
214	710	1047
215	713	1043
216	716	1039
217	719	1036
218	722	1032
219	725	1029
220	728	1025
221	731	1021
222	734	1018
223	737	1014
224	740	1010
225	743	1006
226	746	1002
227	749	998
228	752	995
229	755	991
230	758	987
231	761	984
232	763	980
233	766	976
234	769	972
235	773	969
236	775	965
237	778	962
238	781	958
239	784	954
240	787	950
241	790	946
242	793	943
243	796	939
244	799	936
245	802	932
246	805	929
247	809	926
248	812	923
249	815	919
250	818	916
251	821	913
252	825	910
253	828	906
254	832	903
255	835	900
256	839	897
257	842	894
258	846	891
259	849	888
260	852	885
261	855	881
262	858	878
263	862	875
264	865	871
265	869	869
266	871	865
267	875	862
268	878	859
269	881	855
270	885	852
271	887	848
272	890	845
273	893	841
274	896	838
275	900	834
276	903	831
277	906	828
278	910	825
279	913	822
280	916	819
281	920	816
282	923	812
283	926	809
284	930	806
285	933	802
286	936	799
287	940	796
288	943	792
289	946	789
290	949	786
291	952	783
292	955	779
293	959	776
294	962	773
295	966	770
296	969	766
297	972	763
298	975	760
299	979	757
300	982	753
301	984	750
302	988	746
303	990	743
304	994	739
305	997	736
306	1000	732
307	1002	729
308	1006	726
309	1008	722
310	1011	718
311	1014	715
312	1017	711
313	1020	708
314	1023	705
315	1026	701
316	1029	698
317	1032	694
318	1035	691
319	1038	687
320	1041	684
321	1043	680
322	1047	677
323	1050	674
324	1053	670
325	1056	667
326	1059	664
327	1062	660
328	1065	657
329	1068	653
330	1071	650
331	1074	647
332	1077	643
333	1080	640
334	1083	637
335	1087	634
336	1090	630
337	1093	627
338	1096	624
339	1100	621
340	1103	618
341	1106	614
342	1110	611
343	1113	608
344	1116	605
345	1119	601
346	1122	598
347	1126	595
348	1129	592
349	1131	588
350	1135	585
351	1137	581
352	1140	578
353	1144	575
354	1147	572
355	1150	568
356	1153	565
357	1156	562
358	1160	559
359	1163	555
360	1166	552
361	1169	549
362	1172	545
363	1175	542
364	1178	538
365	1180	535
366	1183	532
367	1186	528
368	1189	525
369	1191	521
370	1195	518
371	1197	515
372	1201	512
373	1203	508
374	1207	505
375	1209	501
376	1212	498
377	1215	495
378	1217	491
379	1221	488
380	1223	485
381	1226	481
382	1229	478
383	1232	474
384	1235	471
385	1238	468
386	1241	465
387	1244	461
388	1247	458
389	1250	455
390	1253	451
391	1256	448
392	1258	445
393	1261	441
394	1264	438
395	1267	435
396	1270	431
397	1273	428
398	1276	425
399	1278	422
400	1281	418
401	1284	415
402	1288	412
403	1290	408
404	1293	405
405	1296	402
406	1299	399
407	1302	395
408	1305	392
409	1308	389
410	1311	386
411	1314	382
412	1317	379
413	1320	376
414	1323	373
415	1325	369
416	1329	366
417	1331	363
418	1335	360
419	1337	356
420	1340	353
421	1343	350
422	1346	346
423	1349	343
424	1352	340
425	1355	337
426	1358	334
427	1361	330
428	1364	327
429	1367	324
430	1369	321
431	1372	317
432	1375	314
433	1378	311
434	1381	308
435	1384	304
436	1387	301
437	1390	298
438	1393	295
439	1396	291
440	1399	288
441	1402	285
442	1404	282
443	1407	279
444	1410	275
445	1413	272
446	1416	269
447	1419	266
448	1422	262
449	1425	259
450	1427	256
451	1431	253
452	1433	250
453	1436	246
454	1439	243
455	1443	240
456	1446	237
457	1449	234
458	1452	230
459	1455	227
460	1458	224
461	1461	221
462	1464	218
463	1467	215
464	1470	211
465	1473	208
466	1477	205
467	1479	202
468	1483	199
469	1486	196
470	1488	192
471	1491	189
472	1494	186
473	1497	183
474	1500	180
475	1502	176
476	1505	173
477	1508	170
478	1511	167
479	1514	164
480	1517	160
481	1519	157
482	1522	154
483	1525	151
484	1528	148
485	1531	144
486	1534	141
487	1537	138
488	1540	135
489	1543	132
490	1546	129
491	1549	125
492	1552	122
493	1554	119
494	1557	116
495	1560	113
496	1564	110
497	1567	107
498	1570	103
499	1574	100
500	1577	97
501	1580	94
502	1584	91
503	1587	88
504	1591	85
505	1594	81
506	1597	78
507	1600	75
508	1604	72
509	1607	69
510	1610	66
511	1613	63
512	1617	59
513	1619	56
514	1623	53
515	1626	50
516	1629	47
517	1632	44
518	1634	40
519	1638	37
520	1640	34
521	1644	31
522	1647	28
523	1650	25
524	1653	22
525	1656	18
526	1659	15
527	1661	12
528	1664	9
529	1667	6
530	1670	3
531	1673	0
